@ Pointer Table mapping: cid → label_cid (4 digits each)
@ Each cid in [0, 2097] maps to a label_cid that has actual data.
@ When cid != label_cid, this is alt-art / shared description.
@ Format: "<cid> <label_cid> <comment>"

0000 0000  (dummy)
0903 0903  Science Soldier
0904 0904  Souls of the Forgotten
0905 0905  Dokuroyaiba
0906 0906  Rain of Mercy
0907 0907  Monster Recovery
0908 0908  Type Zero Magic Crusher
0909 0909  Yellow Luster Shield
0910 0910  Creature Swap
0911 0911  Dark Magician
0912 0912  Thousand Knives
0913 0913  Mystic Box
0914 0914  Ground Collapse
0915 0915  Amazon Archer
0916 0916  Fire Princess
0917 0917  Spirit of the Breeze
0918 0918  Dancing Fairy
0919 0919  Empress Mantis
0920 0920  Cure Mermaid
0921 0921  Hysteric Fairy
0922 0922  Bio-Mage
0923 0923  The Forgiving Maiden
0924 0924  St. Joan
0925 0925  Marie the Fallen One
0926 0926  Jar of Greed
0927 0927  Scroll of Bewitchment
0928 0928  United We Stand
0929 0929  Mage Power
0930 0930  Offerings to the Doomed
0931 0931  Meteor of Destruction
0932 0932  Lightning Vortex
0933 0933  Exchange
0934 0934  The Portrait's Secret
0935 0935  The Gross Ghost of Fled Dreams
0936 0936  Headless Knight
0937 0937  Dark Necrofear
0938 0938  Dark Magician's Tome of Black Magic
0939 0939  Destiny Board
0940 0940  The Dark Door
0941 0941  Earthbound Spirit
0942 0942  Dark Spirit of the Silent
0943 0943  The Earl of Demise
0944 0944  Dark Sage
0945 0945  Cathedral of Nobles
0946 0946  Judgment of Anubis
0947 0947  Embodiment of Apophis
0948 0948  Foolish Burial
0949 0949  Makiu
0950 0950  Ancient Lamp
0951 0951  Cyber Harpie Lady
0952 0952  Mystical Beast Serket
0953 0953  Swift Gaia the Fierce Knight
0954 0954  Obnoxious Celtic Guard
0955 0955  Zombyra the Dark
0956 0956  Spiritualism
0957 0957  Jowgen the Spiritualist
0958 0958  Kycoo the Ghost Destroyer
0959 0959  Summoner of Illusions
0960 0960  Bazoo the Soul-Eater
0961 0961  Soul of Purity and Light
0962 0962  Spirit of Flames
0963 0963  Aqua Spirit
0964 0964  The Rock Spirit
0965 0965  Garuda the Wind Spirit
0966 0966  Gilasaurus
0967 0967  Tornado Bird
0968 0968  Dreamsprite
0969 0969  Supply
0970 0970  Maryokutai
0971 0971  Collected Power
0972 0972  Royal Command
0973 0973  Riryoku Field
0974 0974  Skull Lair
0975 0975  Graverobber's Retribution
0976 0976  Deal of Phantom
0977 0977  Destruction Punch
0978 0978  Blind Destruction
0979 0979  The Emperor's Holiday
0980 0980  Cyclon Laser
0981 0981  Spirit Message "I"
0982 0982  Spirit Message "N"
0983 0983  Spirit Message "A"
0984 0984  Spirit Message "L"
0985 0985  Bait Doll
0986 0986  Fusion Gate
0987 0987  Ekibyo Drakmord
0988 0988  Miracle Dig
0989 0989  Vengeful Bog Spirit
0990 0990  Amazoness Swords Woman
0991 0991  Makyura the Destructor
0992 0992  Amazoness Archers
0993 0993  Rope of Life
0994 0994  Enchanted Arrow
0995 0995  Amazoness Chain Master
0996 0996  Viser Des
0997 0996  Viser Des (alt-art)
0998 0998  Amazoness Fighter
0999 0999  Nightmare Wheel
1000 1000  Byser Shock
1001 1001  Dark Ruler Ha Des
1002 1002  Dark Balter the Terrible
1003 1003  Lesser Fiend
1004 1004  Possessed Dark Soul
1005 1005  Winged Minion
1006 1006  Ryu-Kishin Clown
1007 1007  Twin-Headed Wolf
1008 1008  Opticlops
1009 1009  Bark of Dark Ruler
1010 1010  Fatal Abacus
1011 1011  Life Absorbing Machine
1012 1012  Double Snare
1013 1013  Freed the Matchless General
1014 1014  Throwstone Unit
1015 1015  Marauding Captain
1016 1016  Ryu Senshi
1017 1017  Warrior Dai Grepher
1018 1018  Frontier Wiseman
1019 1019  Exiled Force
1020 1020  The Hunter with 7 Weapons
1021 1021  Shadow Tamer
1022 1022  Dragon Manipulator
1023 1023  The A. Forces
1024 1024  Reinforcement of the Army
1025 1025  Array of Revealing Light
1026 1026  The Warrior Returning Alive
1027 1027  Ready for Intercepting
1028 1028  A Feint Plan
1029 1029  Tyrant Dragon
1030 1030  Spear Dragon
1031 1031  Spirit Ryu
1032 1032  The Dragon dwelling in the Cave
1033 1033  Lizard Soldier
1034 1034  Fiend Skull Dragon
1035 1035  Cave Dragon
1036 1036  Gray Wing
1037 1037  Troop Dragon
1038 1038  The Dragon's Bead
1039 1039  A Wingbeat of Giant Dragon
1040 1040  Dragon's Gunfire
1041 1041  Stamping Destruction
1042 1042  Super Rejuvenation
1043 1043  Dragon's Rage
1044 1044  Burst Breath
1045 1045  Luster Dragon #2
1046 1046  Emergency Provisions
1047 1047  Keldo
1048 1048  Dragged Down into the Grave
1049 1049  Kaiser Glider
1050 1050  Spell Reproduction
1051 1051  Collapse
1052 1052  Mudora
1053 1053  Cestus of Dagla
1054 1054  De-Spell Germ Weapon
1055 1055  Des Feral Imp
1056 1056  Reversal of Graves
1057 1057  Kelbek
1058 1058  Zolga
1059 1059  Blast Held by a Tribute
1060 1060  Agido
1061 1061  Silent Fiend
1062 1062  Fiber Jar
1063 1063  Gradius' Option
1064 1064  Maharaghi
1065 1065  Inaba White Rabbit
1066 1066  Yata-Garasu
1067 1067  Susa Soldier
1068 1068  Yamata Dragon
1069 1069  Great Long Nose
1070 1070  Otohime
1071 1071  Hino-Kagu-Tsuchi
1072 1072  Asura Priest
1073 1073  Fushi No Tori
1074 1074  Super Robolady
1075 1075  Super Roboyarou
1076 1076  Fengsheng Mirror
1077 1077  Heart of Clear Water
1078 1078  A Legendary Ocean
1079 1079  Fusion Sword Murasame Blade
1080 1080  Smoke Grenade of the Thief
1081 1081  Spiritual Energy Settle Machine
1082 1082  Second Coin Toss
1083 1083  Convulsion of Nature
1084 1084  The Secret of the Bandit
1085 1085  After the Struggle
1086 1086  Blast with Chain
1087 1087  Disappear
1088 1088  Bottomless Trap Hole
1089 1089  Ominous Fortunetelling
1090 1090  Nutrient Z
1091 1091  Drop Off
1092 1092  Fiend Comedian
1093 1093  Last Turn
1094 1094  Des Volstgalph
1095 1095  Kaiser Sea Horse
1096 1096  Vampire Lord
1097 1097  Gora Turtle
1098 1098  Sasuke Samurai
1099 1099  Poison Mummy
1100 1100  Dark Dust Spirit
1101 1101  Royal Keeper
1102 1102  Wandering Mummy
1103 1103  Great Dezard
1104 1104  Swarm of Scarabs
1105 1105  Swarm of Locusts
1106 1106  Giant Axe Mummy
1107 1107  Guardian Sphinx
1108 1108  Pyramid Turtle
1109 1109  Dice Jar
1110 1110  Dark Scorpion Burglars
1111 1111  Don Zaloog
1112 1112  Des Lacooda
1113 1113  Fushioh Richie
1114 1114  Cobraman Sakuzy
1115 1115  Book of Life
1116 1116  Book of Taiyou
1117 1117  Book of Moon
1118 1118  Mirage of Nightmare
1119 1119  Call of the Mummy
1120 1120  Timidity
1121 1121  Pyramid Energy
1122 1122  Tutan Mask
1123 1123  Ordeal of a Traveler
1124 1124  Bottomless Shifting Sand
1125 1125  Curse of Royal
1126 1126  Needle Ceiling
1127 1127  Statue of the Wicked
1128 1128  Dark Coffin
1129 1129  Needle Wall
1130 1130  Trap Dustshoot
1131 1131  Reckless Greed
1132 1132  Toon Dark Magician Girl
1133 1133  Gilford the Lightning
1134 1133  Gilford the Lightning (alt-art)
1135 1135  Exarion Universe
1136 1136  Legendary Fiend
1137 1137  Toon Defense
1138 1138  Toon Table of Contents
1139 1139  Toon Masked Sorcerer
1140 1140  Toon Gemini Elf
1141 1141  Toon Cannon Soldier
1142 1142  Toon Goblin Attack Force
1143 1143  Card of Sanctity
1144 1144  Puppet Master
1145 1145  Newdoria
1146 1146  Lord Poison
1147 1147  Blade Knight
1148 1148  Helpoemer
1149 1149  Hidden Soldier
1150 1150  Gil Garth
1151 1151  Calamity of the Wicked
1152 1152  Lava Golem
1153 1153  Monster Relief
1154 1154  Machine Duplication
1155 1155  Dark Jeroid
1156 1156  Master of Dragon Soldier
1157 1157  F.G.D.
1158 1158  Queen's Knight
1159 1159  X-Head Cannon
1160 1160  Enemy Controller
1161 1161  Master Kyonshee
1162 1162  Kabazauls
1163 1163  Inpachi
1164 1164  Gravekeeper's Spy
1165 1165  Gravekeeper's Curse
1166 1166  Gravekeeper's Guard
1167 1167  Gravekeeper's Spear Soldier
1168 1168  Gravekeeper's Cannonholder
1169 1169  Gravekeeper's Assailant
1170 1170  A Man with Wdjat
1171 1171  Mystical Knight of Jackal
1172 1172  A Cat of Ill Omen
1173 1173  Yomi Ship
1174 1174  Winged Sage Falcos
1175 1175  An Owl of Luck
1176 1176  Charm of Shabti
1177 1177  Cobra Jar
1178 1178  Spirit Reaper
1179 1179  Nightmare Horse
1180 1180  Reaper on the Nightmare
1181 1181  Card Shuffle
1182 1182  Reasoning
1183 1183  Dark Room of Nightmare
1184 1184  Different Dimension Capsule
1185 1185  Necrovalley
1186 1186  Buster Rancher
1187 1187  Hieroglyph Lithograph
1188 1188  Dark Snake Syndrome
1189 1189  Terraforming
1190 1190  Banner of Courage
1191 1191  Metamorphosis
1192 1192  Royal Tribute
1193 1193  Reversal Quiz
1194 1194  Curse of Aging
1195 1195  Raigeki Break
1196 1196  Disturbance Strategy
1197 1197  Rite of Spirit
1198 1198  Non Aggression Area
1199 1199  D. Tribe
1200 1200  Y-Dragon Head
1201 1201  XY-Dragon Cannon
1202 1202  Z-Metal Tank
1203 1203  XYZ-Dragon Cannon
1204 1203  XYZ-Dragon Cannon (alt-art)
1205 1203  XYZ-Dragon Cannon (alt-art)
1206 1206  Rope of Spirit
1207 1207  King's Knight
1208 1208  Jack's Knight
1209 1209  Interdimensional Matter Transporter
1210 1210  Goblin Zombie
1211 1211  Drillago
1212 1212  Lekunga
1213 1213  Cost Down
1214 1214  People Running About
1215 1215  Oppressed People
1216 1216  United Resistance
1217 1217  Dark Blade
1218 1218  Pitch-Dark Dragon
1219 1219  Kiryu
1220 1220  Decayed Commander
1221 1221  Zombie Tiger
1222 1222  Giant Orc
1223 1223  Second Goblin
1224 1224  Vampire Orchis
1225 1225  Des Dendle
1226 1226  Burning Beast
1227 1227  Freezing Beast
1228 1228  D.D. Crazy Beast
1229 1229  Spell Canceller
1230 1230  Helping Robo For Combat
1231 1231  Dimension Jar
1232 1232  Roulette Barrel
1233 1233  Paladin of White Dragon
1234 1234  White Dragon Ritual
1235 1235  Frontline Base
1236 1236  Demotion
1237 1237  Combination Attack
1238 1238  Autonomous Action Unit
1239 1239  Poison of the Old Man
1240 1240  Dark Core
1241 1241  Raregold Armor
1242 1242  Kishido Spirit
1243 1243  Tribute Doll
1244 1244  Wave-Motion Cannon
1245 1245  Huge Revolution
1246 1246  Thunder of Ruler
1247 1247  Spell Shield Type-8
1248 1248  Meteorain
1249 1249  Pineapple Blast
1250 1250  Secret Barrel
1251 1251  Formation Union
1252 1252  Adhesion Trap Hole
1253 1253  XZ-Tank Cannon
1254 1254  YZ-Tank Dragon
1255 1255  Final Attack Orders
1256 1256  Dark Paladin
1257 1256  Dark Paladin (alt-art)
1258 1256  Dark Paladin (alt-art)
1259 1259  Spell Absorption
1260 1260  Diffusion Wave-Motion
1261 1261  Fiend's Sanctuary
1262 1262  Great Angus
1263 1263  Aitsu
1264 1264  Sonic Duck
1265 1265  Luster Dragon
1266 1266  Amazoness Paladin
1267 1267  Amazoness Blowpiper
1268 1268  Amazoness Tiger
1269 1269  Skilled White Magician
1270 1270  Skilled Dark Magician
1271 1271  Apprentice Magician
1272 1272  Old Vindictive Magician
1273 1273  Chaos Command Magician
1274 1274  Magical Marionette
1275 1275  Breaker the Magical Warrior
1276 1276  Magical Plant Mandragola
1277 1277  Magical Scientist
1278 1278  Royal Magical Library
1279 1279  Armor Exe
1280 1280  Tribe-Infecting Virus
1281 1281  Des Koala
1282 1282  Cliff the Trap Remover
1283 1283  Magical Merchant
1284 1284  Koitsu
1285 1285  Cat's Ear Tribe
1286 1286  Ultimate Obedient Fiend
1287 1287  Pitch-Black Power Stone
1288 1288  Big Bang Shot
1289 1289  Gather Your Mind
1290 1290  Mass Driver
1291 1291  Senri Eye
1292 1292  Emblem of Dragon Destroyer
1293 1293  Jar Robber
1294 1294  Mega Ton Magical Cannon
1295 1295  Continuous Destruction Punch
1296 1296  Exhausting Spell
1297 1297  Hidden Book of Spell
1298 1298  Miracle Restoring
1299 1299  Disarmament
1300 1300  Anti-Spell
1301 1301  The Spell Absorbing Life
1302 1302  Metal Reflect Slime
1303 1303  Bowganian
1304 1304  Excavation of Mage Stones
1305 1305  Granadora
1306 1306  Shinato, King of a Higher Plane
1307 1307  Dark Flare Knight
1308 1308  Mirage Knight
1309 1309  Berserk Dragon
1310 1310  Exodia Necross
1311 1311  Battle Footballer
1312 1312  Arsenal Summoner
1313 1313  Nin-Ken Dog
1314 1314  Acrobat Monkey
1315 1315  Guardian Elma
1316 1316  Guardian Ceal
1317 1317  Guardian Grarl
1318 1318  Guardian Baou
1319 1319  Guardian Kay'est
1320 1320  Guardian Tryce
1321 1321  Gyaku-Gire Panda
1322 1322  Blindly Loyal Goblin
1323 1323  Despair from the Dark
1324 1324  Maju Garzett
1325 1325  Fear from the Dark
1326 1326  Dark Scorpion - Chick the Yellow
1327 1327  D.D. Warrior Lady
1328 1328  Thousand Needles
1329 1329  Shinato's Ark
1330 1330  A Deal with Dark Ruler
1331 1331  Contract with Exodia
1332 1332  Butterfly Dagger - Elma
1333 1333  Shooting Star Bow - Ceal
1334 1334  Gravity Axe - Grarl
1335 1335  Wicked-Breaking Flamberge - Baou
1336 1336  Rod of Silence - Kay'est
1337 1337  Twin Swords of Flashing Light - Tryce
1338 1338  Precious Cards from Beyond
1339 1339  Rod of the Mind's Eye
1340 1340  Fairy of the Spring
1341 1341  Token Thanksgiving
1342 1342  Non-Spellcasting Area
1343 1343  Staunch Defender
1344 1344  Ojama Trio
1345 1345  Arsenal Robber
1346 1346  Skill Drain
1347 1347  Really Eternal Rest
1348 1348  Soul Taker
1349 1349  Magical Dimension
1350 1350  Judgement of Pharaoh
1351 1351  Friendship
1352 1352  Unity
1353 1353  Dark Magician Knight
1354 1354  Knight's Title
1355 1355  Sage's Stone
1356 1356  Gagagigo
1357 1357  D. D. Trainer
1358 1358  Ojama Green
1359 1359  Archfiend Soldier
1360 1360  Pandemonium Watchbear
1361 1361  Sasuke Samurai #2
1362 1362  Dark Scorpion - Gorg the Strong
1363 1363  Dark Scorpion - Meanae the Thorn
1364 1364  Outstanding Dog Marron
1365 1365  Great Maju Garzett
1366 1366  Iron Blacksmith Kotetsu
1367 1367  Mefist the Infernal General
1368 1368  Vilepawn Archfiend
1369 1369  Shadowknight Archfiend
1370 1370  Darkbishop Archfiend
1371 1371  Desrook Archfiend
1372 1372  Infernalqueen Archfiend
1373 1373  Terrorking Archfiend
1374 1374  Skull Archfiend of Lightning
1375 1375  Metallizing Parasite - Lunatite
1376 1376  Tsukuyomi
1377 1377  Legendary Flame Lord
1378 1378  Dark Master - Zorc
1379 1379  Incandescent Ordeal
1380 1380  Contract with the Abyss
1381 1381  Contract with the Dark Master
1382 1382  Falling Down
1383 1383  Checkmate
1384 1384  Final Countdown
1385 1385  Mustering of the Dark Scorpions
1386 1386  Pandemonium
1387 1387  Altar for Tribute
1388 1388  Frozen Soul
1389 1389  Battle-Scarred
1390 1390  Dark Scorpion Combination
1391 1391  Archfiend's Roar
1392 1392  Dice Re-Roll
1393 1393  Spell Vanishing
1394 1394  Sakuretsu Armor
1395 1395  Ray of Hope
1396 1396  Nightmare Penguin
1397 1397  Perfect Machine King
1398 1398  Chiron the Mage
1399 1399  Ojama Yellow
1400 1400  Ojama Black
1401 1401  Soul Tiger
1402 1402  Big Koala
1403 1403  Des Kangaroo
1404 1404  Crimson Ninja
1405 1405  Strike Ninja
1406 1406  Gale Lizard
1407 1407  Chopman the Desperate Outlaw
1408 1408  Sasuke Samurai #3
1409 1409  D. D. Scout Plane
1410 1410  Berserk Gorilla
1411 1411  Freed the Brave Wanderer
1412 1412  Witch Doctor of Chaos
1413 1413  Chaos Necromancer
1414 1414  Chaosrider Gustaph
1415 1415  Inferno
1416 1416  Fenrir
1417 1417  Gigantes
1418 1418  Silpheed
1419 1419  Chaos Sorcerer
1420 1420  Gren Maju Da Eiza
1421 1421  Black Luster Soldier - Envoy of the Beginning
1422 1422  Fuhma Shuriken
1423 1423  Heart of the Underdog
1424 1424  Wild Nature's Release
1425 1425  Ojama Delta Hurricane!!
1426 1426  Stumbling
1427 1427  Chaos End
1428 1428  Chaos Greed
1429 1429  D. D. Borderline
1430 1430  Recycle
1431 1431  Primal Seed
1432 1432  Thunder Crash
1433 1433  Dimension Distortion
1434 1434  Reload
1435 1435  Soul Absorption
1436 1436  Big Burn
1437 1437  Blasting the Ruins
1438 1438  Cursed Seal of the Forbidden Spell
1439 1439  Tower of Babel
1440 1440  Spatial Collapse
1441 1441  Chain Disappearance
1442 1442  Zero Gravity
1443 1443  Dark Mirror Force
1444 1444  Energy Drain
1445 1445  Chaos Emperor Dragon - Envoy of the End
1446 1446  Victory D.
1447 1447  Magician's Valkyrie
1448 1448  Giga Gagagigo
1449 1449  Mad Dog of Darkness
1450 1450  Neo Bug
1451 1451  Sea Serpent Warrior of Darkness
1452 1452  Terrorking Salmon
1453 1453  Blazing Inpachi
1454 1454  Burning Algae
1455 1455  The Thing in the Crater
1456 1456  Molten Zombie
1457 1457  Dark Magician of Chaos
1458 1458  Manticore of Darkness
1459 1459  Stealth Bird
1460 1460  Sacred Crane
1461 1461  Enraged Battle Ox
1462 1462  Don Turtle
1463 1463  Dark Driceratops
1464 1464  Hyper Hammerhead
1465 1465  Black Tyranno
1466 1466  Anti-Aircraft Flower
1467 1467  Prickle Fairy
1468 1468  Insect Princess
1469 1469  Amphibious Bugroth MK-3
1470 1470  Torpedo Fish
1471 1471  Levia-Dragon - Daedalus
1472 1472  Orca Mega-Fortress of Darkness
1473 1473  Cannonball Spear Shellfish
1474 1474  Mataza the Zapper
1475 1475  Guardian Angel Joan
1476 1476  Manju of the Ten Thousand Hands
1477 1477  Getsu Fuhma
1478 1478  Ryu Kokki
1479 1479  Gryphon's Feather Duster
1480 1480  Stray Lambs
1481 1481  Smashing Ground
1482 1482  Dimension Fusion
1483 1483  Dedication through Light and Darkness
1484 1484  Salvage
1485 1485  Ultra Evolution Pill
1486 1486  Earth Chant
1487 1487  Jade Insect Whistle
1488 1488  Destruction Ring
1489 1489  Fiend's Hand Mirror
1490 1490  Compulsory Evacuation Device
1491 1491  A Hero Emerges
1492 1492  Self-Destruct Button
1493 1493  Curse of Darkness
1494 1494  Begone, Knave!
1495 1495  DNA Transplant
1496 1496  Robbin' Zombie
1497 1497  Trap Jammer
1498 1498  Invader of Darkness
1499 1499  Twinheaded Beast
1500 1500  Abyss Soldier
1501 1501  Inferno Hammer
1502 1502  Emes the Infinity
1503 1503  D. D. Assailant
1504 1504  Teva
1505 1505  Skull Zoma
1506 1506  Maximum Six
1507 1507  Dangerous Machine TYPE-6
1508 1508  Sixth Sense
1509 1509  Gogiga Gagagigo
1510 1510  Warrior of Zera
1511 1511  Sealmaster Meisei
1512 1512  Mystical Shine Ball
1513 1513  Metal Armored Bug
1514 1514  The Agent of Judgment - Saturn
1515 1515  The Agent of Wisdom - Mercury
1516 1516  The Agent of Creation - Venus
1517 1517  The Agent of Force - Mars
1518 1518  The Unhappy Girl
1519 1519  Soul-Absorbing Bone Tower
1520 1520  The Kick Man
1521 1521  Vampire Lady
1522 1522  Rocket Jumper
1523 1523  Avatar of The Pot
1524 1524  Legendary Jujitsu Master
1525 1525  KA-2 Des Scissors
1526 1526  Needle Burrower
1527 1527  Blowback Dragon
1528 1528  Zaborg the Thunder Monarch
1529 1529  Atomic Firefly
1530 1530  Mermaid Knight
1531 1531  Piranha Army
1532 1532  Two Thousand Needles
1533 1533  Disc Fighter
1534 1534  Arcane Archer of the Forest
1535 1535  Lady Ninja Yae
1536 1536  Goblin King
1537 1537  Solar Flare Dragon
1538 1538  White Magician Pikeru
1539 1539  Archlord Zerato
1540 1540  Opti-Camouflage Armor
1541 1541  Mystik Wok
1542 1542  Burst Stream of Destruction
1543 1543  Monster Gate
1544 1544  The Sanctuary in the Sky
1545 1545  Earthquake
1546 1546  Goblin Thief
1547 1547  Backfire
1548 1548  Micro Ray
1549 1549  Light of Judgment
1550 1550  Wall of Revealing Light
1551 1551  Solar Ray
1552 1552  Ninjitsu Art of Transformation
1553 1553  Beckoning Light
1554 1554  Draining Shield
1555 1555  Armor Break
1556 1556  Mazera DeVille
1557 1557  Marshmallon
1558 1558  Skull Descovery Knight
1559 1559  Shield Crash
1560 1560  Return Zombie
1561 1561  Corpse of Yata-Garasu
1562 1562  Marshmallon glasses
1563 1563  Earthbound Spirit's Invitation
1564 1564  Mokey Mokey
1565 1565  Gigobyte
1566 1566  Kozaky
1567 1567  Fiend Scorpion
1568 1568  Pharaoh's Servant
1569 1569  Pharaonic Protector
1570 1570  Spirit of the Pharaoh
1571 1571  Theban Nightmare
1572 1572  Aswan Apparition
1573 1573  Protector of the Sanctuary
1574 1574  Nubian Guard
1575 1575  Desertapir
1576 1576  Sand Gambler
1577 1577  Ghost Knight of Jackal
1578 1578  Absorbing Kid from the Sky
1579 1579  Elephant Statue of Blessing
1580 1580  Elephant Statue of Disaster
1581 1581  Spirit Caller
1582 1582  Emissary of the Afterlife
1583 1583  Double Coston
1584 1584  Regenerating Mummy
1585 1585  Night Assailant
1586 1586  Man-Thro' Tro'
1587 1587  King of the Swamp
1588 1588  Emissary of the Oasis
1589 1589  Special Hurricane
1590 1590  Order to Charge
1591 1591  Sword of the Soul-Eater
1592 1592  Dust Barrier
1593 1593  Soul Reversal
1594 1594  Spell Economics
1595 1595  7
1596 1596  Level Limit - Area B
1597 1597  Enchanting Fitting Room
1598 1598  The Law of the Normal
1599 1599  Dark Magic Attack
1600 1600  Delta Attacker
1601 1601  Thousand Energy
1602 1602  Triangle Power
1603 1603  The Third Sarcophagus
1604 1604  The Second Sarcophagus
1605 1605  The First Sarcophagus
1606 1606  Human-Wave Tactics
1607 1607  Curse of Anubis
1608 1608  Desert Sunlight
1609 1609  Des Counterblow
1610 1610  Labyrinth of Nightmare
1611 1611  Soul Resurrection
1612 1612  Order to Smash
1613 1613  The End of Anubis
1614 1614  Crush D. Gandra
1615 1615  Return from the Different Dimension
1616 1616  Pyramid of Light
1617 1617  Blue-Eyes Shining Dragon
1618 1618  Familiar Knight
1619 1619  Rare Metal Dragon
1620 1620  Peten the Dark Clown
1621 1621  Sorcerer of Dark Magic
1622 1622  Andro Sphinx
1623 1623  Sphinx Teleia
1624 1624  Theinen the Great Sphinx
1625 1625  Inferno Tempest
1626 1626  Watapon
1627 1627  Charcoal Inpachi
1628 1628  Neo Aqua Madoor
1629 1629  Skull Dog Marron
1630 1630  Goblin Calligrapher
1631 1631  Ultimate Insect LV1
1632 1632  Horus the Black Flame Dragon LV4
1633 1633  Horus the Black Flame Dragon LV6
1634 1634  Horus the Black Flame Dragon LV8
1635 1635  Dark Mimic LV1
1636 1636  Dark Mimic LV3
1637 1637  Mystic Swordsman LV2
1638 1638  Mystic Swordsman LV4
1639 1639  Armed Dragon LV3
1640 1640  Armed Dragon LV5
1641 1641  Armed Dragon LV7
1642 1642  Horus' Servant
1643 1643  Red-Eyes B. Chick
1644 1644  Ninja Grandmaster Sasuke
1645 1645  Rafflesia Seduction
1646 1646  Ultimate Baseball Kid
1647 1647  Mobius the Frost Monarch
1648 1648  Element Dragon
1649 1649  Element Soldier
1650 1650  Howling Insect
1651 1651  Masked Dragon
1652 1652  Mind on Air
1653 1653  Unshaven Angler
1654 1654  The Trojan Horse
1655 1655  Nobleman-Eater Bug
1656 1656  Enraged Muka Muka
1657 1657  Hade-Hane
1658 1658  Penumbral Soldier Lady
1659 1659  Ojama King
1660 1660  Master of Oz
1661 1661  Sanwitch
1662 1662  Dark Factory of Mass Production
1663 1663  Hammer Shot
1664 1664  Mind Wipe
1665 1665  Abyssal Designator
1666 1666  Level Up!
1667 1667  Inferno Fire Blast
1668 1668  The Graveyard in the Fourth Dimension
1669 1669  Two-Man Cell Battle
1670 1670  Big Wave Small Wave
1671 1671  Fusion Weapon
1672 1672  Ritual Weapon
1673 1673  Taunt
1674 1674  Absolute End
1675 1675  Spirit Barrier
1676 1676  Ninjitsu Art of Decoy
1677 1677  Enervating Mist
1678 1678  Heavy Slump
1679 1679  Greed
1680 1680  Cemetary Bomb
1681 1681  Hallowed Life Barrier
1682 1682  The Tricky
1683 1683  Green Gadget
1684 1684  Stronghold
1685 1684  Stronghold (alt-art)
1686 1686  Red Gadget
1687 1687  Yellow Gadget
1688 1688  Tricky's Magic 4
1689 1689  The Blockman
1690 1690  Silent Swordsman LV3
1691 1691  Silent Swordsman LV5
1692 1692  Silent Swordsman LV7
1693 1693  Silent Magician LV4
1694 1694  Magician's Circle
1695 1695  Magician's Unite
1696 1696  Silent Magician LV8
1697 1697  Woodborg Inpachi
1698 1698  Mighty Guard
1699 1699  Bokoichi the Freightening Car
1700 1700  Harpie Girl
1701 1701  The Creator
1702 1702  The Creator Incarnate
1703 1703  Ultimate Insect LV3
1704 1704  Mystic Swordsman LV6
1705 1705  Heavy Mech Support Platform
1706 1706  Element Magician
1707 1707  Element Saurus
1708 1708  Roc from the Valley of Haze
1709 1709  Sasuke Samurai #4
1710 1710  Harpie Lady 1
1711 1711  Harpie Lady 2
1712 1712  Harpie Lady 3
1713 1713  Raging Flame Sprite
1714 1714  Thestalos the Firestorm Monarch
1715 1715  Eagle Eye
1716 1716  Tactical Espionage Expert
1717 1717  Invasion of Flames
1718 1718  Creeping Doom Manta
1719 1719  Pitch-Black Warwolf
1720 1720  Mirage Dragon
1721 1721  Gaia Soul the Combustible Collective
1722 1722  Fox Fire
1723 1723  Big Core
1724 1724  Fusilier Dragon, the Dual-Mode Beast
1725 1725  Dekoichi the Battlechanted Locomotive
1726 1726  A-Team: Trap Disposal Unit
1727 1727  Homunculus the Alchemic Being
1728 1728  Dark Blade the Dragon Knight
1729 1729  Mokey Mokey King
1730 1730  Serial Spell
1731 1731  Harpies' Hunting Ground
1732 1732  Triangle Ecstasy Spark
1733 1733  Necklace of Command
1734 1734  Flint
1735 1735  Mokey Mokey Smackdown
1736 1736  Back to Square One
1737 1737  Monster Reincarnation
1738 1738  Ballista of Rampart Smashing
1739 1739  Lighten the Load
1740 1740  Malice Dispersion
1741 1741  Divine Wrath
1742 1742  Xing Zhen Hu
1743 1743  Rare Metalmorph
1744 1744  Mind Haxorz
1745 1745  Fuh-Rin-Ka-Zan
1746 1746  Chain Burst
1747 1747  Pikeru's Circle of Enchantment
1748 1748  Spell Purification
1749 1749  Astral Barrier
1750 1750  Covering Fire
1751 1751  Castle Gate
1752 1752  Owner's Seal
1753 1753  Space Mambo
1754 1754  Divine Dragon Ragnarok
1755 1755  Chu-Ske the Mouse Fighter
1756 1756  Insect Knight
1757 1757  Sacred Phoenix of Nephthys
1758 1758  Hand of Nephthys
1759 1759  Ultimate Insect LV5
1760 1760  Granmarg the Rock Monarch
1761 1761  Element Valkyrie
1762 1762  Element Doom
1763 1763  Maji-Gire Panda
1764 1764  Catnipped Kitty
1765 1765  Behemoth the King of All Animals
1766 1766  Big-Tusked Mammoth
1767 1767  Kangaroo Champ
1768 1768  Hyena
1769 1769  Blade Rabbit
1770 1770  Mecha-Dog Marron
1771 1771  Blast Magician
1772 1772  Gearfried the Swordmaster
1773 1773  Armed Samurai - Ben Kei
1774 1774  Shadowslayer
1775 1775  Golem Sentry
1776 1776  Abare Ushioni
1777 1777  The Light - Hex-Sealed Fusion
1778 1778  The Dark - Hex-Sealed Fusion
1779 1779  The Earth - Hex-Sealed Fusion
